# x_value,depth,gradient
196.000000,6.780000,-1.162132
197.000000,6.780000,-1.162132
198.000000,8.280000,-1.039161
199.000000,8.280000,-0.858034
200.000000,8.280000,-0.743009
201.000000,8.274280,-0.853661
202.000000,8.268560,-0.986084
203.000000,8.262840,-1.107087
204.000000,8.257120,-0.803090
205.000000,7.751400,-1.309313
206.000000,7.734060,-1.309313
207.000000,7.716720,-0.977560
208.000000,8.199380,-0.651753
209.000000,7.682040,-0.592492
210.000000,6.164700,-1.394840
211.000000,6.147380,-1.467634
212.000000,7.630060,-0.602147
213.000000,7.612740,-0.668779
214.000000,7.595420,-0.726848
215.000000,7.578100,-0.621608
216.000000,6.395640,-0.728919
217.000000,6.213180,-0.713705
218.000000,6.530720,-0.755411
219.000000,6.848260,-0.926247
220.000000,6.665800,-0.858129
221.000000,6.649580,-0.945574
222.000000,3.133360,-0.770595
223.000000,2.617140,-1.241178
224.000000,4.100920,-0.588499
225.000000,4.084700,-1.649096
226.000000,1.072800,-1.790456
227.000000,0.560900,-1.790456
228.000000,0.049000,-1.668722
229.000000,2.037100,-1.356511
230.000000,2.525200,-5.647318
231.000000,-0.713340,-1.645421
232.000000,-0.951880,-1.885142
233.000000,-1.190420,-1.859986
234.000000,-1.428960,-3.554375
235.000000,1.332500,-1.176920
236.000000,-1.788100,-2.474774
237.000000,-0.908700,-2.474774
238.000000,-6.529300,-0.617104
239.000000,-3.149900,-0.665731
240.000000,-3.270500,-0.665731
241.000000,-4.447160,-0.714874
242.000000,-7.623820,-1.665595
243.000000,-7.300480,-2.148181
244.000000,-0.977140,-3.526284
245.000000,-1.153800,-5.067950
246.000000,-1.148620,-4.561226
247.000000,-1.643440,-3.696889
248.000000,-1.138260,-1.031024
249.000000,-0.133080,-2.238938
250.000000,-7.127900,-2.219651
251.000000,-0.005520,-2.438907
252.000000,-6.383140,-1.697389
253.000000,-5.760760,-1.697389
254.000000,-4.638380,-0.803216
255.000000,0.484000,-11.552308
256.000000,0.324800,-11.339921
257.000000,-4.334400,-1.660741
258.000000,-0.993600,-4.926999
259.000000,-1.152800,-4.926999
260.000000,-0.312000,-3.505500
261.000000,-1.849600,-1.102978
262.000000,-3.387200,-2.097010
263.000000,-3.424800,-2.097010
264.000000,-2.962400,-1.208483
265.000000,-3.500000,-3.398553
266.000000,-3.500000,-3.398553
267.000000,-3.500000,-0.745113
268.000000,-3.500000,-2.705495
269.000000,-1.500000,-0.680396
270.000000,-1.500000,-3.160843
271.000000,-1.525000,-3.955220
272.000000,-2.050000,-3.020856
273.000000,-2.075000,-1.605329
274.000000,-1.600000,-1.767281
275.000000,-1.625000,-2.511459
276.000000,-1.152600,-0.988846
277.000000,-2.180200,-5.087225
278.000000,-2.207800,-5.087225
279.000000,-1.735400,-1.612311
280.000000,-1.763000,-1.866665
281.000000,-1.270400,-3.025657
282.000000,-1.777800,-2.697397
283.000000,-1.785200,-1.478934
284.000000,-1.792600,-1.798362
285.000000,-1.800000,-4.055244
286.000000,-1.311000,-0.633212
287.000000,-1.822000,-5.089261
288.000000,-1.833000,-1.531565
289.000000,-1.844000,-1.670287
290.000000,-1.855000,-2.535765
291.000000,-1.863600,-4.187485
292.000000,-1.872200,-5.019256
293.000000,-1.880800,-4.369454
294.000000,-1.889400,-2.268984
295.000000,-1.898000,-1.337095
296.000000,-0.903600,-0.723198
297.000000,-1.909200,-1.967234
298.000000,-1.914800,-2.874012
299.000000,-1.920400,-3.953294
300.000000,-1.926000,-4.510872
301.000000,-1.429000,-3.698777
302.000000,-1.432000,-3.099416
303.000000,-1.935000,-1.995648
304.000000,-1.938000,-1.780572
305.000000,-1.941000,-2.110624
306.000000,-1.440400,-1.423960
307.000000,-1.439800,-1.343052
308.000000,-1.939200,-1.659218
309.000000,-1.938600,-2.764880
310.000000,-1.938000,-2.990331
311.000000,-1.935000,-2.281015
312.000000,-1.932000,-2.438011
313.000000,-1.929000,-2.438011
